mp_partyname,country,adjusted_predictions
Dominican Liberation Party,D. Republic,8.199142531665187
Modern Revolutionary Party,D. Republic,8.022025135545322
Movement towards Socialism - Political Instrument for the Sovereignty of the Peoples,Bolivia,7.2681614163032044
Proud and Sovereign Fatherland Alliance Movement,Ecuador,6.982908379840807
Patriotic Society Party,Ecuador,6.9412264650560465
Social Christian Party,Ecuador,6.883376338812135
Christian Democratic Party,Bolivia,6.848124541113272
Democratic Left,Ecuador,6.363723578031961
People’s Force,Peru,6.276943932260167
Creating Opportunities,Ecuador,6.192401565671558
Democratic Change,Panama,6.116359430813451
Labor Party,Mexico,6.113324451169339
Force 2011,Peru,6.0458246935346915
Democratic Revolutionary Party,Panama,5.844704135954197
National Solidarity Alliance,Peru,5.652321187102308
Alliance for Progress of Peru,Peru,5.616355035883413
Alliance for the Great Change,Peru,5.589946448273192
New Majority for Chile,Chile,5.5582709033381
Approve Dignity,Chile,5.557609819922284
New Social Pact,Chile,5.557023742492549
Broad Front,Chile,5.556836971600133
Alliance Possible Peru,Peru,5.555402453293412
Christian Social Front,Chile,5.554743807929602
Colombian Conservative Party,Colombia,5.38805561622589
Party of Radical Change,Colombia,5.375209666913383
Popular Action,Peru,5.362387590350105
Party of «U»,Colombia,5.36148418207746
Alternative Democratic Pole,Colombia,5.2552748641765765
Green Alliance,Colombia,5.242842677843539
Peruvians for Change,Peru,5.241672104980491
Popular Alliance,Peru,5.191751306928904
Green Party,Colombia,5.184694234582502
National Regeneration Movement,Mexico,5.180937032442639
Independent,Panama,5.1264509090745705
Colombian Liberal Party,Colombia,5.110912657697122
Libertarian Movement Party,Costa Rica,4.710618576525868
National Restoration Party,Costa Rica,4.681013161486675
Progressive Movement,Mexico,4.512033800217181
National Integration Party,Costa Rica,4.502375670460733
Social Christian Republican Party,Costa Rica,4.390821043093136
Democratic Revolutionary Party,Mexico,4.33857041358806
Social Encounter Party,Mexico,4.32847983990892
Coalition ‘We save Mexico',Mexico,4.307237663255362
Convergence,Mexico,4.291342234245193
Convergence for Democracy,Mexico,4.273997448627822
Coalition ‘Mexico First',Mexico,4.248315511717355
New Alliance Party,Mexico,4.217513523346377
Commitment for Mexico,Mexico,4.2133492599410465
Social Christian Unity Party,Costa Rica,4.195754069757646
Alliance for Mexico 2006,Mexico,4.179967384777343
Citizens' Movement,Mexico,4.035138726478652
Alliance for Change,Mexico,3.9104733859647434
National Liberation Party,Costa Rica,3.9004087713550213
Broad Front,Costa Rica,3.6720077433609797
Citizen’s Action Party,Costa Rica,3.5017270517721144
Broad Front,Uruguay,2.520756873618049
Colorado Party,Uruguay,2.313965075605916
National Party,Uruguay,2.271870225625922
Independent Party,Uruguay,2.1441436631032094
