country,mse,best_score,max_depth,min_samples_leaf,n_estimators
BOL,0.16252817725285118,0.1696815621995461,10.0,1,300
COL,2.671794801815729,2.635852937721646,10.0,2,200
CRI,3.190709396800314,3.3125394380596926,,2,300
ECU,1.707238940838212,1.8658932212591661,,2,300
CHL,3.3647180406190786,3.366167698099634,10.0,2,300
PAN,2.808212736697441,3.000496529186553,,2,300
URY,0.34461109394818096,0.3584033134598353,,2,300
DOM,0.32503627556654696,0.30316056219125775,10.0,2,100
MEX,1.318320161356794,1.464934933693917,,2,300
PER,1.121475814622558,1.1382672185088931,,2,300
