mp_partyname,country,adjusted_predictions
Movement towards Socialism - Political Instrument for the Sovereignty of the Peoples,Bolivia,7.2681614163032044
Proud and Sovereign Fatherland Alliance Movement,Ecuador,6.982908379840807
National Solidarity Alliance,Peru,5.652321187102308
Alliance for Progress of Peru,Peru,5.616355035883413
Party of «U»,Colombia,5.36148418207746
Alternative Democratic Pole,Colombia,5.2552748641765765
Progressive Movement,Mexico,4.512033800217181
National Integration Party,Costa Rica,4.502375670460733
Alliance for Mexico 2006,Mexico,4.179967384777343
Citizens' Movement,Mexico,4.035138726478652
