clean_text,adjusted_predictions,country,mp_partyname
reduciremos impuestos obstáculos evitan disminuir costo vida panameños pobres,7.2810161851432245,Panama,Democratic Change
construcciones infraestructura física desarrollo productivo convierten plataforma permitirá consolidar cambio económico estructural país,6.93803948187426,Ecuador,Proud and Sovereign Fatherland Alliance Movement
dimensión compromiso descentralización fomentar cooperativas empresas energéticas regionales foco desarrollo económico local,5.578930743531846,Chile,Approve Dignity
considerará vulnerabilidad riesgos comunidades incorporando principios prevención responsabilidad materia,5.553003511035954,Chile,Broad Front
propulsar negocios extraer,5.459621141627943,Peru,Alliance Possible Peru
ecoturismo subdesarrollado perú inmensas áreas naturales aprovechables propósitos desarrollar turismo sostenible,5.020446732457265,Peru,Alliance for Progress of Peru
gobierno federal cumpla satisfaga demandas sociales,4.511928960210153,Mexico,Labor Party
proponemos frente común gobierno federal gobiernos ayuntamientos combate inseguridad reforzando programas conjuntos promoviendo reformas legislativas acelerando transformación estructuras administrativas operativas necesarias modernización depuración profesionalización sistemas seguridad justicia municipios país,3.8072062505564777,Mexico,Commitment for Mexico
fortalecimiento institucionalidad igualdad equidad género,3.1632363143525963,Costa Rica,Citizen’s Action Party
siguientes etapas conducirán formación visión estratégica nacional,2.237680107061917,Uruguay,Broad Front
