country,mse,best_score,max_depth,min_samples_leaf,n_estimators
ECU,2.1226204423164043,1.6565464801074128,10.0,2,100
URY,0.43553626346092467,0.46436722054033214,10.0,1,200
MEX,2.4364820606763957,2.2382382015369946,,2,300
CHL,3.479683356681139,3.5188317134544143,10.0,1,300
DOM,0.16613164656617907,0.4809742756170318,10.0,2,300
BOL,0.147286443713529,0.35038904857502834,,2,200
CRI,4.344654639289606,3.696552139694163,10.0,2,200
PER,1.4133967392248081,1.6244552006555661,,2,300
PAN,3.49637496377553,3.648993438561158,,2,300
COL,7.800887255088756,2.627113568664134,,2,100
