"Country","ccodecow","ISO","CPARTY1","CPARTY2","CPARTY3","CPARTY4","CPARTY5","CPARTY6","CPARTY7","CPARTY8","CPARTY9","CPARTY10","P1Name","P2Name","P3Name","P4Name","P5Name","P6Name","P7Name","P8Name","P9Name","P10Name","P1Abb","P2Abb","P3Abb","P4Abb","P5Abb","P6Abb","P7Abb","P8Abb","P9Abb","P10Abb","Q2.1_1","Q2.1_2","Q2.1_3","Q2.1_4","Q2.1_5","Q2.1_6","Q2.1_7","Q2.1_8","Q2.1_9","Q2.1_10","Q2.2_1","Q2.2_2","Q2.2_3","Q2.2_4","Q2.2_5","Q2.2_6","Q2.2_7","Q2.2_8","Q2.2_9","Q2.2_10","Q2.3_1","Q2.3_2","Q2.3_3","Q2.3_4","Q2.3_5","Q2.3_6","Q2.3_7","Q2.3_8","Q2.3_9","Q2.3_10","Q3.1_1","Q3.1_2","Q3.1_3","Q3.1_4","Q3.1_5","Q3.1_6","Q3.1_7","Q3.1_8","Q3.1_9","Q3.1_10","Q3.2_1","Q3.2_2","Q3.2_3","Q3.2_4","Q3.2_5","Q3.2_6","Q3.2_7","Q3.2_8","Q3.2_9","Q3.2_10","Q3.3_1","Q3.3_2","Q3.3_3","Q3.3_4","Q3.3_5","Q3.3_6","Q3.3_7","Q3.3_8","Q3.3_9","Q3.3_10","Q3.4_1","Q3.4_2","Q3.4_3","Q3.4_4","Q3.4_5","Q3.4_6","Q3.4_7","Q3.4_8","Q3.4_9","Q3.4_10","Q3.5_1","Q3.5_2","Q3.5_3","Q3.5_4","Q3.5_5","Q3.5_6","Q3.5_7","Q3.5_8","Q3.5_9","Q3.5_10","Q3.6_1","Q3.6_2","Q3.6_3","Q3.6_4","Q3.6_5","Q3.6_6","Q3.6_7","Q3.6_8","Q3.6_9","Q3.6_10","Q4.1_1","Q4.1_2","Q4.1_3","Q4.1_4","Q4.1_5","Q4.1_6","Q4.1_7","Q4.1_8","Q4.1_9","Q4.1_10","Q4.2_1","Q4.2_2","Q4.2_3","Q4.2_4","Q4.2_5","Q4.2_6","Q4.2_7","Q4.2_8","Q4.2_9","Q4.2_10","Q4.3_1","Q4.3_2","Q4.3_3","Q4.3_4","Q4.3_5","Q4.3_6","Q4.3_7","Q4.3_8","Q4.3_9","Q4.3_10","Q4.4_1","Q4.4_2","Q4.4_3","Q4.4_4","Q4.4_5","Q4.4_6","Q4.4_7","Q4.4_8","Q4.4_9","Q4.4_10","Q4.5_1","Q4.5_2","Q4.5_3","Q4.5_4","Q4.5_5","Q4.5_6","Q4.5_7","Q4.5_8","Q4.5_9","Q4.5_10","Q4.6_1","Q4.6_2","Q4.6_3","Q4.6_4","Q4.6_5","Q4.6_6","Q4.6_7","Q4.6_8","Q4.6_9","Q4.6_10","Q4.7_1","Q4.7_2","Q4.7_3","Q4.7_4","Q4.7_5","Q4.7_6","Q4.7_7","Q4.7_8","Q4.7_9","Q4.7_10","Q4.8_1","Q4.8_2","Q4.8_3","Q4.8_4","Q4.8_5","Q4.8_6","Q4.8_7","Q4.8_8","Q4.8_9","Q4.8_10","Q5.1_1","Q5.1_2","Q5.1_3","Q5.1_4","Q5.1_5","Q5.1_6","Q5.1_7","Q5.1_8","Q5.1_9","Q5.1_10","Q5.2_1","Q5.2_2","Q5.2_3","Q5.2_4","Q5.2_5","Q5.2_6","Q5.2_7","Q5.2_8","Q5.2_9","Q5.2_10","Q5.3_1","Q5.3_2","Q5.3_3","Q5.3_4","Q5.3_5","Q5.3_6","Q5.3_7","Q5.3_8","Q5.3_9","Q5.3_10","Q5.4_1","Q5.4_2","Q5.4_3","Q5.4_4","Q5.4_5","Q5.4_6","Q5.4_7","Q5.4_8","Q5.4_9","Q5.4_10","METAPARTY","Elec_code","Elec_year","Elec_date","P1PerVote","P2PerVote","P3PerVote","P4PerVote","P5PerVote","P6PerVote","P7PerVote","P8PerVote","P9PerVote","P10PerVote","P1PerSeats","P2PerSeats","P3PerSeats","P4PerSeats","P5PerSeats","P6PerSeats","P7PerSeats","P8PerSeats","P9PerSeats","P10PerSeats","METACOUNTRY","LSQINDEX","ENEP","ENPP","PR","CL","Regime","polity","polity2","GDP","Region","OECD","Turnout","METAEXPERT","R_YearofBirth","R_Gender","R_Countryofbirth","R_Countryofcitizenship","R_Partysupport","R_ideology","Difficulty","LocationLatitude","LocationLongitude","UserLanguage","Expert"
"Brazil",140,"BRA","BRA_ Workers' Party","BRA_ Social Liberal PartyÂ ","BRA_ Progressive Party","BRA_ Party of the Brazilian Democratic Movement","BRA_ Social Democratic PartyÂ ","BRA_ Republic Party","BRA_ Brazilian Socialist Party","BRA_ Brazilian Republican Party","BRA_ Democrats","BRA_ Social Democracy Party","Workers' Party","Social Liberal PartyÂ ","Progressive Party","Party of the Brazilian Democratic Movement","Social Democratic PartyÂ ","Republic Party","Brazilian Socialist Party","Brazilian Republican Party","Democrats","Social Democracy Party","PT","PSL","PP","MDB","PSD","PR","PSB","PRB","Democrats","PSDB",10,10,10,10,4,10,10,4,10,10,9,7,8,9,NA,9,8,NA,8,9,NA,3,3,NA,4,4,7,4,7,8,3,7,7,NA,NA,8,3,8,7,3,10,10,10,10,10,10,10,10,10,10,2,9,9,NA,8,8,NA,8,NA,NA,10,10,10,10,10,10,10,10,10,10,8,9,NA,NA,NA,NA,7,NA,NA,NA,10,10,10,10,10,10,10,10,10,10,0,NA,NA,NA,10,8,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,3,3,3,3,3,4,2,NA,NA,NA,NA,NA,NA,NA,8,8,8,4,4,NA,4,3,NA,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,7,7,8,8,8,8,8,8,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,8,NA,NA,7,NA,NA,NA,NA,7,8,8,NA,NA,NA,7,NA,7,7,NA,8,8,NA,NA,7,NA,NA,NA,NA,NA,"BRA_28102018_P2",2018,2018-10-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1950,0,0,1,NA,3,9,-22.9201049804688,-43.3307037353516,"EN",1
"Costa Rica",94,"CRI","CRI_ National Liberation Party","CRI_ National Restoration","CRI_ Citizens Action Party","CRI_ Social Christian Unity Party","CRI_ National Integration","CRI_ Social-Christian Republican Party","CRI_ Broad Front","CRI_ Libertarian Movement Party","CRI_ Accessibility without Exclusion","CRI_ New Generation Party","National Liberation Party","National Restoration","Citizens Action Party","Social Christian Unity Party","National Integration","Social-Christian Republican Party","Broad Front","Libertarian Movement Party","Accessibility without Exclusion","New Generation Party","PLN","PREN","PAC","PUSC","PIN","PRS","FA","PML","Accessibility without Exclusion","PNG",10,10,10,10,10,10,10,10,10,10,NA,2,4,NA,0,NA,NA,0,10,NA,7,10,NA,3,NA,10,2,10,10,10,8,10,NA,10,10,9,3,10,9,10,10,10,8,10,9,9,7,10,10,9,9,10,NA,10,10,10,1,9,9,9,2,0,NA,2,2,2,10,0,0,2,7,10,1,7,10,NA,2,10,10,10,7,10,1,8,10,2,NA,10,10,10,8,10,2,10,10,8,2,10,10,10,8,NA,9,NA,NA,NA,1,NA,NA,NA,3,10,2,10,10,8,0,8,8,8,7,0,9,7,0,NA,7,0,0,0,4,10,3,NA,10,9,1,10,10,10,7,10,2,7,10,7,0,10,10,10,4,10,0,9,10,9,0,10,10,10,2,10,1,2,10,4,1,10,10,10,8,7,3,7,7,7,3,7,NA,NA,9,9,9,9,9,9,4,9,9,9,NA,10,3,NA,10,8,3,10,10,10,2,0,1,1,0,1,0,1,1,0,NA,"CRI_01042018_P2",2018,2018-02-04,19.49,18.15,16.27,14.6,7.67,4.21,3.95,2.45,2.32,2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,0,0,1,NA,4,8,9.93460083007812,-84.070198059082,"ES-ES",1
"Brazil",140,"BRA","BRA_ Workers' Party","BRA_ Social Liberal PartyÂ ","BRA_ Progressive Party","BRA_ Party of the Brazilian Democratic Movement","BRA_ Social Democratic PartyÂ ","BRA_ Republic Party","BRA_ Brazilian Socialist Party","BRA_ Brazilian Republican Party","BRA_ Democrats","BRA_ Social Democracy Party","Workers' Party","Social Liberal PartyÂ ","Progressive Party","Party of the Brazilian Democratic Movement","Social Democratic PartyÂ ","Republic Party","Brazilian Socialist Party","Brazilian Republican Party","Democrats","Social Democracy Party","PT","PSL","PP","MDB","PSD","PR","PSB","PRB","Democrats","PSDB",10,7,7,10,7,NA,8,NA,10,10,10,1,8,7,7,7,9,7,9,7,2,7,NA,NA,NA,NA,4,NA,NA,2,2,9,7,NA,NA,NA,4,8,9,9,8,8,7,NA,7,7,7,7,10,10,0,10,8,NA,7,7,2,7,8,NA,1,10,8,NA,7,7,3,7,8,7,2,10,NA,NA,NA,NA,3,NA,NA,NA,2,10,NA,NA,NA,NA,4,NA,NA,NA,1,10,9,NA,8,8,3,8,8,9,2,NA,9,7,9,9,3,9,NA,NA,2,10,9,NA,9,9,3,9,10,10,10,0,7,NA,3,3,8,3,3,3,0,NA,8,4,8,8,2,8,NA,NA,0,10,7,NA,NA,NA,2,7,7,7,0,10,NA,NA,NA,NA,2,NA,NA,NA,1,10,8,NA,8,8,3,8,8,8,1,10,7,NA,7,7,2,7,NA,NA,1,10,7,NA,7,7,2,7,7,7,3,10,NA,NA,NA,NA,4,NA,NA,NA,0,10,NA,4,NA,NA,1,NA,3,3,NA,"BRA_28102018_P2",2018,2018-10-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1963,1,1,1,NA,3,9,-22.7158966064453,-47.7734069824219,"ES-ES",1
"Brazil",140,"BRA","BRA_ Workers' Party","BRA_ Social Liberal PartyÂ ","BRA_ Progressive Party","BRA_ Party of the Brazilian Democratic Movement","BRA_ Social Democratic PartyÂ ","BRA_ Republic Party","BRA_ Brazilian Socialist Party","BRA_ Brazilian Republican Party","BRA_ Democrats","BRA_ Social Democracy Party","Workers' Party","Social Liberal PartyÂ ","Progressive Party","Party of the Brazilian Democratic Movement","Social Democratic PartyÂ ","Republic Party","Brazilian Socialist Party","Brazilian Republican Party","Democrats","Social Democracy Party","PT","PSL","PP","MDB","PSD","PR","PSB","PRB","Democrats","PSDB",10,10,NA,10,10,7,8,8,10,10,10,0,4,4,NA,NA,10,NA,8,7,4,10,NA,NA,NA,7,4,7,8,NA,3,10,NA,7,7,8,4,8,9,NA,9,NA,NA,NA,NA,NA,NA,NA,8,9,0,10,NA,NA,4,NA,2,7,7,3,10,0,4,NA,3,2,NA,3,3,NA,2,10,NA,NA,NA,NA,4,3,3,3,3,10,NA,4,NA,4,4,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,10,3,3,8,8,8,NA,NA,0,10,4,4,4,NA,3,4,4,4,9,1,NA,7,NA,NA,NA,3,3,4,0,10,8,NA,4,NA,3,NA,NA,NA,0,10,NA,4,3,NA,3,NA,NA,4,0,10,NA,7,4,7,4,7,7,8,2,9,NA,4,NA,7,3,NA,NA,NA,2,10,8,NA,NA,NA,NA,NA,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,7,NA,NA,9,9,9,3,8,NA,NA,NA,NA,NA,NA,4,NA,NA,"BRA_28102018_P2",2018,2018-10-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971,1,0,0,1,6,10,NA,NA,"ES-ES",1
"Israel",666,"ISR","ISR_ Likud","ISR_ Zionist Bloc","ISR_ Joint List: Hadash, United Arab List, Balad, Taal","ISR_ Yesh Atid","ISR_ Kulanu/All of Us","ISR_ Jewish Home","ISR_ Shas","ISR_ Yisrael Beiteinu","ISR_ United Torah Judaism","ISR_ Meretz","Likud","Zionist Bloc","Joint List: Hadash, United Arab List, Balad, Taal","Yesh Atid","Kulanu/All of Us","Jewish Home","Shas","Yisrael Beiteinu","United Torah Judaism","Meretz","L","ZB","JL","Yesh","Kulanu","HH","Shas","YB","United Torah Judaism","Meretz",9,9,9,9,9,9,9,9,9,10,8,NA,NA,8,3,4,9,9,7,7,9,4,NA,4,7,NA,NA,7,NA,2,8,3,3,7,4,7,3,NA,3,1,4,NA,NA,4,8,3,7,4,7,7,8,4,4,3,7,8,9,NA,9,1,2,NA,NA,NA,2,1,1,3,1,9,9,4,7,NA,3,1,1,3,1,10,9,3,2,3,NA,8,8,7,8,1,10,3,3,NA,7,7,NA,10,NA,0,3,7,8,NA,8,7,NA,NA,NA,NA,7,NA,7,3,7,8,8,8,8,1,9,3,1,3,9,10,10,9,10,0,4,3,NA,2,NA,8,NA,NA,NA,0,10,2,0,4,7,10,10,10,10,0,9,3,4,3,7,8,10,10,10,0,7,3,3,3,4,9,10,8,10,0,2,NA,7,NA,2,1,1,1,1,7,3,NA,7,7,2,1,1,1,1,8,4,7,7,8,4,4,3,3,3,9,8,3,3,3,NA,8,8,9,8,0,NA,"ISR_17032015_L1",2015,2015-03-17,23.4,18.7,10.6,8.8,7.5,6.7,5.7,5.1,5,3.9,25,20,10.8,9.2,8.3,6.7,5.8,5,5,4.2,NA,1.61245154965971,7.77061154712876,6.93798826092386,1,2,2,6,6,36545.69921875,7,1,72,NA,1946,0,1,1,NA,2,8,41.7821044921875,-87.6045989990234,"EN",1
"United Kingdom",200,"GBR","GBR_ Conservative Party","GBR_ Labour Party","GBR_ Liberal Democrats","GBR_ Scottish National Party","GBR_ Plaid Cymru","GBR_ Green Party","GBR_ Brexit Party","GBR_ Democratic Unionist Party","GBR_ Sinn Féin","GBR_ UK Independence Party","Conservative Party","Labour Party","Liberal Democrats","Scottish National Party","Plaid Cymru","Green Party","Brexit Party","Democratic Unionist Party","Sinn Féin","UK Independence Party","CON","LAB","LD","SNP","PC","GRN","BRX","DUP","Sinn Féin","UKIP",9,10,9,8,8,8,8,7,7,8,0,0,3,NA,NA,NA,3,NA,NA,3,2,0,1,0,2,3,NA,NA,NA,NA,8,4,7,4,4,4,10,NA,NA,10,10,10,10,10,8,8,7,NA,NA,7,7,0,1,1,1,0,10,10,NA,10,3,10,8,9,9,10,0,NA,NA,0,10,0,1,1,1,1,10,NA,NA,10,10,NA,NA,NA,NA,4,10,NA,NA,10,10,1,2,1,2,1,10,NA,NA,10,NA,0,NA,2,2,2,NA,10,10,NA,9,0,3,1,1,0,10,NA,NA,10,3,8,10,10,8,8,0,NA,NA,0,NA,0,0,1,1,0,10,NA,NA,10,3,0,3,2,1,1,10,NA,NA,10,10,0,0,0,0,0,10,NA,NA,10,9,0,3,0,0,0,10,NA,NA,10,0,3,NA,3,3,4,0,NA,NA,0,NA,1,4,2,2,3,0,NA,NA,0,NA,NA,NA,NA,NA,NA,10,NA,NA,10,10,0,0,0,0,0,10,NA,NA,10,NA,"GBR_08062017_L1",2017,2017-06-08,42.3,40,7.4,3,1.8,1.6,0.9,0.7,0.5,NA,48.8,40.3,1.8,5.4,0,0.2,1.5,1.1,0.6,NA,NA,6.52648450545928,2.88983932493353,2.47415130424886,1,1,2,10,10,39753.2421875,6,1,68.7,NA,1966,0,0,0,2,4,8,NA,NA,"EN",1
"Lebanon",660,"LBN","LBN_ Independents/Others","LBN_ Free Patriotic Movement","LBN_ The Future Movement","LBN_ Amal Movement","LBN_ The Lebanese Forces","LBN_ Hezbollah","LBN_ Progressive Socialist Party","LBN_ Tadamun Party (Solidarity Party)","LBN_ Azm Party","LBN_ Kataeb-Phalangist Party","Independents/Others","Free Patriotic Movement","The Future Movement","Amal Movement","The Lebanese Forces","Hezbollah","Progressive Socialist Party","Tadamun Party (Solidarity Party)","Azm Party","Kataeb-Phalangist Party","Ind.","FPM","FM","Amal","LF","HZ","PSP","Tadamun","Azm Party","Kataeb",7,3,NA,2,7,1,3,0,0,10,1,1,1,1,7,1,1,1,1,10,1,10,10,10,4,4,10,10,10,1,NA,NA,7,7,7,NA,NA,NA,NA,7,7,NA,NA,NA,7,7,NA,NA,NA,9,2,9,9,9,9,10,9,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,8,10,8,10,8,NA,NA,NA,NA,10,7,10,7,10,7,NA,NA,NA,NA,10,NA,NA,7,NA,NA,NA,NA,7,NA,1,1,NA,8,NA,NA,10,10,NA,0,9,9,9,3,8,8,NA,NA,0,9,1,NA,NA,9,1,8,NA,NA,10,0,1,1,2,1,NA,1,NA,NA,1,1,NA,NA,NA,4,NA,NA,NA,NA,2,1,8,NA,8,3,9,NA,NA,NA,1,0,10,10,10,NA,9,10,NA,NA,1,0,10,8,10,8,10,8,NA,NA,3,2,9,8,9,7,9,8,NA,NA,2,10,8,NA,NA,NA,8,NA,NA,NA,9,0,10,9,9,2,NA,NA,NA,NA,0,NA,"LBN_06052018_L1",2018,2018-05-06,18,17.2,16.4,11.7,10.9,10.2,7,2.3,3.1,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,1,6,6,13367.5654296875,7,0,49.7,NA,1974,1,1,1,NA,6,10,33.9833068847656,35.6667022705078,"EN",1
"the Netherlands",210,"NLD","NLD_ People's Party for Freedom and Democracy","NLD_ Party for Freedom","NLD_ Christian Democratic Appeal","NLD_ Democrats 66","NLD_ The Greens","NLD_ Socialist Party","NLD_ Labour Party","NLD_ Christian Union Party","NLD_ Party for the Animals","NLD_ 50PLUS","People's Party for Freedom and Democracy","Party for Freedom","Christian Democratic Appeal","Democrats 66","The Greens","Socialist Party","Labour Party","Christian Union Party","Party for the Animals","50PLUS","VVD","PVV","CDA","D66","GL","SP","PvdA","CU","Party for the Animals","50+",7,NA,NA,7,7,4,NA,4,1,0,NA,7,NA,NA,NA,NA,3,NA,NA,NA,3,7,3,2,2,2,2,2,NA,NA,8,NA,NA,NA,3,2,3,4,0,NA,8,3,NA,NA,3,8,7,3,NA,NA,NA,NA,7,2,1,3,2,9,1,8,NA,9,8,7,7,3,NA,8,NA,8,3,10,2,0,0,NA,1,2,NA,9,0,10,0,0,0,NA,0,0,NA,NA,8,10,7,2,2,NA,4,NA,NA,10,NA,NA,NA,NA,3,1,3,4,10,NA,NA,7,NA,3,0,4,2,2,0,9,7,3,8,9,8,4,8,NA,NA,2,8,8,NA,10,10,9,9,3,NA,NA,7,10,7,1,0,4,2,4,NA,10,2,4,3,0,0,1,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,3,3,2,NA,NA,NA,0,NA,0,NA,3,3,1,NA,NA,NA,0,2,9,2,2,2,4,2,2,NA,10,1,NA,1,1,1,1,1,1,NA,NA,NA,"NLD_15032017_L1",2017,2017-03-15,21.3,13.1,12.4,12.2,9.1,9.1,5.7,3.4,3.2,3.1,27.3,10,8.7,8,0,10,25.3,3.3,1.3,1.3,NA,16.6069262658687,8.63990599782274,5.74930720848138,1,1,2,10,10,48472.54296875,6,1,81.6,NA,1962,0,0,0,NA,5,4,NA,NA,"EN",1
"Ireland",205,"IRL","IRL_ Fine Gael","IRL_ Fianna Fail","IRL_ Sinn Fein","IRL_ Independents","IRL_ Labour Party","IRL_ Independent Alliance","IRL_ Anti-Austerity Alliance - People Before Profit","IRL_ Social Democrats","IRL_ Green Party","IRL_ Renua Ireland","Fine Gael","Fianna Fail","Sinn Fein","Independents","Labour Party","Independent Alliance","Anti-Austerity Alliance - People Before Profit","Social Democrats","Green Party","Renua Ireland","FG","FF","SF","Ind.","AAA-SBP","NC","AAA","DS","Green Party","RI",9,8,7,9,9,8,10,9,10,10,10,10,10,7,10,10,10,10,10,10,9,9,4,1,8,8,3,4,8,8,10,9,NA,NA,7,9,3,7,9,10,NA,NA,8,9,NA,NA,10,7,1,NA,9,10,7,2,7,10,0,4,NA,10,10,10,8,9,NA,10,10,8,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,NA,NA,1,10,8,NA,NA,10,NA,NA,NA,10,9,NA,0,3,10,NA,10,10,NA,2,NA,10,0,3,3,10,NA,NA,8,NA,NA,NA,7,NA,NA,NA,10,10,4,10,8,10,2,NA,8,10,10,10,2,10,NA,10,1,NA,NA,10,10,10,4,10,10,10,1,NA,9,10,10,10,8,10,10,10,0,NA,10,10,10,10,NA,10,10,10,2,NA,10,10,10,10,4,10,10,10,0,10,10,10,0,0,4,0,0,0,NA,2,0,0,10,10,3,10,10,10,0,NA,10,10,NA,"IRL_26022016_L1",2016,2016-02-26,25.5,24.4,13.8,11.3,6.6,4.2,3.9,3,2.7,2.2,30.1,26.5,13.9,7.2,4.2,3.6,3.6,1.8,1.2,0,NA,5.34462346662513,6.01945487816623,5.25886776577003,1,1,2,10,10,68882.875,6,1,66.6,NA,1973,0,1,1,NA,4,NA,53.3338012695312,-6.24879455566406,"EN",1
"Russia",365,"RUS","RUS_ United Russia","RUS_ The Communist Party of the Russian Federation","RUS_ Liberal Democratic Party of Russia","RUS_ A Just Russia","RUS_ Yabloko","RUS_ Russian Party of Pensioners for Justice","RUS_ Rodina","RUS_ Party of Growth","RUS_ Russian Ecological Party","RUS_ Party of People's Freedom","United Russia","The Communist Party of the Russian Federation","Liberal Democratic Party of Russia","A Just Russia","Yabloko","Russian Party of Pensioners for Justice","Rodina","Party of Growth","Russian Ecological Party","Party of People's Freedom","Rodina","CoR","RPPJ","UR","Greens","CPl","LDPR","PARNAS","Russian Ecological Party","Cpo",8,8,NA,10,8,NA,NA,4,3,4,7,8,8,7,9,8,8,NA,NA,4,NA,8,3,8,NA,9,4,NA,NA,7,7,4,NA,4,7,4,NA,8,NA,9,NA,8,4,7,NA,NA,NA,7,4,8,8,8,8,7,3,9,9,2,NA,1,7,9,4,NA,8,9,10,8,NA,9,NA,7,9,NA,NA,8,10,7,8,7,NA,7,9,NA,NA,8,10,NA,NA,9,NA,7,9,NA,4,8,9,NA,NA,4,4,8,NA,8,8,9,NA,NA,8,NA,NA,4,7,4,4,NA,NA,NA,2,1,NA,NA,3,NA,8,2,1,8,NA,10,NA,NA,9,4,2,8,9,3,NA,1,3,3,7,3,2,7,9,2,NA,1,8,8,7,NA,3,7,8,3,NA,1,9,1,NA,2,2,1,NA,NA,NA,4,NA,2,8,2,2,NA,8,NA,NA,1,9,3,7,2,1,7,7,2,NA,1,1,NA,7,NA,NA,NA,3,NA,NA,8,9,4,7,NA,2,NA,7,NA,NA,1,NA,"RUS_18092016_L1",2016,2016-09-18,55.2,13.6,13.4,6.3,2,1.8,1.5,1.3,0.8,0.7,76.2,9.3,8.7,5.1,0,0,0.2,0,0,0,NA,15.7284773579644,2.8872027624756,1.66814853861847,7,6,0,4,4,23162.6328125,5,0,46.9,NA,1969,0,1,1,NA,8,8,NA,NA,"RU",1
