"ISO","PartyName","PartyAbb","Q2.1","Q2.2","Q2.3","Q3.1","Q3.2","Q3.3","Q3.4","Q3.5","Q3.6","Q4.1","Q4.2","Q4.3","Q4.4","Q4.5","Q4.6","Q4.7","Q4.8","Q5.1","Q5.2","Q5.3","Q5.4"
"AFG","Islamic Society","Jamiat",6.6,4.33333333333333,5.5,7,4,8.33333333333333,4.33333333333333,9.33333333333333,9.33333333333333,3.33333333333333,8,3,4.33333333333333,7.5,5.66666666666667,7.6,8.25,7,7.5,8.66666666666667,3
"AFG","Islamic Unity Party of Afghanistan","Hezb-e Wahdat",7.28571428571429,3.66666666666667,5.75,5,4.5,8.33333333333333,5.16666666666667,9,8.75,4,5.6,3,5.5,5.5,0.5,5.25,8,NA,8.2,6,4
"AFG","National Islamic Movement of Afghanistan","Junbish",6.71428571428571,5,5.5,4,3.33333333333333,8.5,5,9,9.5,5.33333333333333,8,4,4,9.33333333333333,5.75,6.8,8.6,6,9.25,6.5,5
"AFG","People's Islamic Unity Party of Afghanistan","PIUPA",7.28571428571429,5.2,6.4,5,5.33333333333333,8,5.16666666666667,8.75,8.75,5,5.4,2.5,6,5.5,3.75,5.2,8,2.5,9.25,6.75,4.4
"AFG","Republican Party of Afghanistan","RPA",5,5,5.25,4,6,8.5,4.25,7,8.25,5,6,2.5,5.66666666666667,2.33333333333333,1.66666666666667,1.33333333333333,7.6,4.66666666666667,6.5,5.8,2.5
"AGO","Broad Convergence for the Salvation of Angola – Electoral Coalition","CASA-CE",8,5.4,6.66666666666667,5.66666666666667,8.2,7,5.5,5.83333333333333,7,10,4.33333333333333,1,4.8,2.16666666666667,5.33333333333333,4.5,5,3.5,4.5,7.33333333333333,0.6
"AGO","National Front for the Liberation of Angola","FNLA",7.11111111111111,1.83333333333333,7.5,7,7.25,8.8,5.66666666666667,6.6,8.25,6.5,8,1.5,2,2.33333333333333,1.5,8,7.25,2.5,4.66666666666667,7.25,1.75
"AGO","National Union for the Total Independence of Angola","UNITA",9.5,8.33333333333333,4,5.6,9.2,8.2,6.2,6.28571428571429,7,9,4,2,2.75,2.33333333333333,4.66666666666667,5.5,6.4,3,5.75,7.4,0.75
"AGO","People's Movement for the Liberation of Angola","MPLA",9.33333333333333,7.25,4.16666666666667,3.5,9,8.2,5.6,8,7.5,9.25,2,2,4,2.16666666666667,8.33333333333333,9.25,9.33333333333333,5.33333333333333,5.83333333333333,4.8,8
"AGO","Social Renewal Party","PRS",7.14285714285714,6.5,8,5.75,7.2,8.6,6.16666666666667,7,7.2,9.33333333333333,9.33333333333333,1,3.75,1.75,0,4.66666666666667,6.2,2.5,4.75,7,2.25
"ALB","Democratic Party of Albania","PD",8.5,5,5.11111111111111,5.71428571428571,7.9,5.125,5.42857142857143,7.11111111111111,8.44444444444444,4.66666666666667,7.44444444444444,4,8.375,2.90909090909091,2.5,5.33333333333333,8.33333333333333,6.55555555555556,5.875,7.7,4.4
"ALB","Libra Party","LIBRA",4.66666666666667,5.14285714285714,6,2.4,7.6,1.83333333333333,6.66666666666667,5.25,7,4.66666666666667,7.33333333333333,3,7.14285714285714,2.25,3,3.75,5.75,3.75,3.8,8.375,2.2
"ALB","Party for Justice, Integration and Unity","PDIU",6.3,8.16666666666667,5.375,6,5.4,7.33333333333333,7.33333333333333,6.8,8.25,8,8.375,4,4.88888888888889,2.4,2.42857142857143,4,8.625,4.6,6.75,7.5,3.66666666666667
"ALB","Social Democratic Party of Albania","PSD",4.77777777777778,6.5,7.66666666666667,4.28571428571429,6.75,4,5.66666666666667,3.5,5.5,2,7.6,2.33333333333333,7,2.8,3,5,8.2,5.5,5.33333333333333,4.66666666666667,2
"ALB","Socialist Movement for Integration","LSI",8.55555555555556,6.4,6.11111111111111,5.375,7.33333333333333,3.875,3.16666666666667,7.5,8.66666666666667,4.66666666666667,6.88888888888889,5.5,7.71428571428571,2.54545454545455,2.5,6,9.3,6.4,5.85714285714286,7.44444444444444,5
"ALB","Socialist Party of Albania","PS",8.54545454545454,8,6,6.4,7.88888888888889,1.875,5.18181818181818,7.11111111111111,8.125,2.75,2.5,4.75,8.55555555555556,2.08333333333333,2,6.5,8.91666666666667,8.36363636363636,6.66666666666667,5.11111111111111,6.81818181818182
"ARG","Cambiemos","PRO-UCR-",9.5,7.66666666666667,7.2,8,8.9375,5.33333333333333,5.23076923076923,3.21428571428571,5.46153846153846,7.27272727272727,8,3.25,8.33333333333333,4.1,6.77777777777778,3.58333333333333,3.66666666666667,6.66666666666667,5.16666666666667,6.8,3.11111111111111
